Reference, Quantity, Value, Footprint, Datasheet, LCSC, Product, Supplier, Supplier Symbol, Vendor
C1 C2 ,2,"22p","0805:0805C","http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf","C1804","CL21C220JBANNNC","TME","CL21C220JBANNNC","Samsung"
C4 C5 C6 C7 ,4,"100n","0805:0805C","http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf","C1711","CL21B104KBCNNNC","TME","CL21B104KBCNNNC","Samsung"
C3 C8 ,2,"1u","0805:0805C","","C28323","CL21B105KBFNNNE","TME","CL21B104KBCNNNC","Samsung"
D1 D2 D3 D4 D5 D6 D7 D8 D10 D11 D12 D13 D14 D15 D16 D17 D18 D19 D21 D22 D23 D24 D26 D27 D28 D29 D30 D31 D32 D33 D34 D36 D37 D38 D39 D41 D42 D43 D44 D46 D47 D48 D49 D51 D52 D53 D54 D55 D56 D57 D58 D59 D60 D61 D62 D64 D65 D66 D67 D68 D69 D70 D71 D72 D73 D74 D75 D76 D77 D78 D79 D80 D81 D82 D83 D84 D85 D86 D87 D88 D89 ,81,"1N4148","Diode_SMD:D_SOD-323F","","C2128","CD4148WS(0805C)","TME","1N4148-0805","DC Components"
D90 D91 D92 D93 D94 D95 D96 D97 D98 D99 D100 D101 D102 ,13,"WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","C2761795","","","",""
IC1 ,1,"ATMEGA32U4","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","http://www.atmel.com/dyn/resources/prod_documents/doc7766.pdf","C45874","ATmega32U4-AU","DigiKey","ATMEGA32U4-AU-ND","Atmel"
J1 ,1,"USB C","Connector_USB:USB_C_Receptacle_Palconn_UTC16-G","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C2835315","","","",""
R1 R2 ,2,"22","0805:0805R","http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf","C17561","CRCW080522R0JNTABC","TME","CRCW080522R0JNTABC","Vishay"
R3 R4 ,2,"5.1k","0805:0805R","http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf","C27834","CRCW080522R0JNTABC","TME","CRCW080522R0JNTABC","Vishay"
R5 R6 ,2,"10k","0805:0805R","http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf","C17414","CRCW080510K0JNTABC","TME","CRCW080510K0JNTABC","Vishay"
S0 ,1,"DTSM-6","dtsm:KSEM31GLFS","http://www.jm.pl/karty/DTSJW.pdf","C221773","TACTB-64K-F","TME","TACTB-64K-F","Ninigi"
S1 S2 S3 S4 S5 S6 S7 S8 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S21 S22 S23 S24 S26 S27 S28 S29 S30 S31 S32 S33 S34 S36 S37 S38 S39 S41 S42 S43 S44 S46 S47 S48 S49 S51 S52 S53 S54 S55 S56 S57 S58 S59 S60 S61 S62 S64 S65 S66 S67 S68 S69 S70 S71 S72 S73 S74 S75 S76 S77 S78 S79 S80 S81 S82 S83 S84 S85 S86 S87 S88 S89 ,81,"MX1A","mx1a:MX1A",""
X1 ,1,"ASX3F","ndk:4-SMD","","C258942","16.00M-SMDXT324","TME","16.00M-SMDXT324","YIC"
